ConcentrationBROMP,ConfusionBROMP,BoredomBROMP,FrustrationBROMP,DelightBROMP
0.627103156,0.394796672,0.280519631,0.39512643,0.433626864
0.632036781,0.461453858,0.267456177,0.395174106,0.433626864
0.615631259,0.475707337,0.31778822,0.447176632,0.433626864
0.622513674,0.482313174,0.300186712,0.499894936,0.433626864
0.593803908,0.482313174,0.395608983,0.501713358,0.447827425
0.621662344,0.406238437,0.312011922,0.495530213,0.44895317
0.61103481,0.416639795,0.346511057,0.542273644,0.44895317
0.606884118,0.402796444,0.362779521,0.490653541,0.455131523
0.607021383,0.396445665,0.365380893,0.44535873,0.46039962
0.47527382,0.396445665,0.760009061,0.447488361,0.46039962
0.471529657,0.684627557,0.364777145,0.460706835,0.477846027
0.474952724,0.675280388,0.357013108,0.409538893,0.495346654
0.070232558,0.675280388,0.999558989,0.439345519,0.51285869
0.391075326,0.55293458,0.721827591,0.439580922,0.514749648
0.393532486,0.55293458,0.715390047,0.439659974,0.515384515
0.527362442,0.386214681,0.727109389,0.433712137,0.517616469
0.53082922,0.386214681,0.718428424,0.427579144,0.518198138
0.52616778,0.386214681,0.730805258,0.421679887,0.520495142
0.527991357,0.386214681,0.726534427,0.415676999,0.521766901
0.527612361,0.386214681,0.727789119,0.409695075,0.523006089
0.508332211,0.402655458,0.775234364,0.45605447,0.523006089
0.521862297,0.402655458,0.744429118,0.456316819,0.525095421
0.521178698,0.402655458,0.746536842,0.450303449,0.527153854
0.413842915,0.402655458,0.935533787,0.450874481,0.527153854
0.493350312,0.55293458,0.277688141,0.367847333,0.330977523
0.507903134,0.55293458,0.242554095,0.368442045,0.330977523
0.653137992,0.386214681,0.219176679,0.368482654,0.331283688
0.630792573,0.409626936,0.276917336,0.426541324,0.331283688
0.602043461,0.404907883,0.36149709,0.416201528,0.349239949
0.507076897,0.572174833,0.246153853,0.422420666,0.349662087
0.62524059,0.420053897,0.293961373,0.468914697,0.349662087
0.636658847,0.420053897,0.262913768,0.475463055,0.351406662
0.620392227,0.401132792,0.308349052,0.418397371,0.359057049
0.634252816,0.405662179,0.268482898,0.412432525,0.359057049
0.626152417,0.472720952,0.290915763,0.412997094,0.359057049
0.62486639,0.457172917,0.264460215,0.363695967,0.359057049
0.465904131,0.557582132,0.326893977,0.376941001,0.359057049
0.48591135,0.557582132,0.274607638,0.377275658,0.359057049
0.628311478,0.386214681,0.261211479,0.377315113,0.359363234
0.589375354,0.41740538,0.377898796,0.42352784,0.359363234
0.588180561,0.41740538,0.385522411,0.42528602,0.372590677
0.480165608,0.584761949,0.297850006,0.431526031,0.37291514
0.591080084,0.439325921,0.379263936,0.478672494,0.37291514
0.539638143,0.439325921,0.548615639,0.482411513,0.401052466
